row,plot,treatment,rep,flag,fruit,firm.1,firm.2
2,6,ctrl,1,Pink,1,15.92,16.141
2,6,ctrl,1,Pink,2,15.281,16.251
2,6,ctrl,1,Pink,3,16.251,16.317
2,6,ctrl,1,Pink,4,14.796,15.766
2,6,ctrl,1,Pink,5,17.949,19.36
2,6,ctrl,1,Pink,6,18.566,18.037
2,6,ctrl,1,Pink,7,15.589,16.141
2,6,ctrl,1,Pink,8,16.383,16.361
2,6,ctrl,1,Pink,9,18.037,15.92
2,6,ctrl,1,Pink,10,16.912,23.329
2,6,ctrl,1,Pink,11,17.221,15.854
2,6,ctrl,1,Pink,12,18.147,15.347
1,3,avg,1,BlueBlack,1,16.799,16.777
1,3,avg,1,BlueBlack,2,15.300,14.815
1,3,avg,1,BlueBlack,3,17.593,16.094
1,3,avg,1,BlueBlack,4,15.961,16.711
1,3,avg,1,BlueBlack,5,17.659,18.607
1,3,avg,1,BlueBlack,6,16.954,15.719
1,3,avg,1,BlueBlack,7,15.278,14.418
1,3,avg,1,BlueBlack,8,17.130,16.424
1,3,avg,1,BlueBlack,9,16.358,15.102
1,3,avg,1,BlueBlack,10,16.998,16.645
1,3,avg,1,BlueBlack,11,15.829,17.416
1,3,avg,1,BlueBlack,12,17.571,14.330
1,1,naa,1,OrangeWhite,1,19.735,15.898
1,1,naa,1,OrangeWhite,2,17.397,15.501
1,1,naa,1,OrangeWhite,3,14.575,16.052
1,1,naa,1,OrangeWhite,4,17.089,18.478
1,1,naa,1,OrangeWhite,5,16.207,15.038
1,1,naa,1,OrangeWhite,6,17.993,19.095
1,1,naa,1,OrangeWhite,7,15.259,15.942
1,1,naa,1,OrangeWhite,8,13.539,17.486
1,1,naa,1,OrangeWhite,9,15.545,15.7
1,1,naa,1,OrangeWhite,10,14.222,14.707
1,1,naa,1,OrangeWhite,11,16.119,17.464
1,1,naa,1,OrangeWhite,12,14.773,17.905
1,2,ethephon,1,BlackWhite,1,14.266,13.958
1,2,ethephon,1,BlackWhite,2,14.685,15.237
1,2,ethephon,1,BlackWhite,3,17.023,17.397
1,2,ethephon,1,BlackWhite,4,16.074,17.993
1,2,ethephon,1,BlackWhite,5,13.936,16.515
1,2,ethephon,1,BlackWhite,6,16.427,20.242
1,2,ethephon,1,BlackWhite,7,18.478,17.949
1,2,ethephon,1,BlackWhite,8,16.074,18.235
1,2,ethephon,1,BlackWhite,9,15.104,16.956
1,2,ethephon,1,BlackWhite,10,16.273,15.435
1,2,ethephon,1,BlackWhite,11,16.471,17.486
1,2,ethephon,1,BlackWhite,12,18.654,17.883
2,7,ctrl,2,Pink,1,16.119,15.523
2,7,ctrl,2,Pink,2,20.639,16.758
2,7,ctrl,2,Pink,3,22.293,18.103
2,7,ctrl,2,Pink,4,15.391,14.465
2,7,ctrl,2,Pink,5,16.626,16.008
2,7,ctrl,2,Pink,6,18.015,18.698
2,7,ctrl,2,Pink,7,16.141,19.691
2,7,ctrl,2,Pink,8,14.906,15.413
2,7,ctrl,2,Pink,9,17.155,15.347
2,7,ctrl,2,Pink,10,15.81,15.391
2,7,ctrl,2,Pink,11,16.427,18.743
2,7,ctrl,2,Pink,12,17.265,17.574
1,4,avg,2,BlueBlack,1,17.772,20.33
1,4,avg,2,BlueBlack,2,16.846,17.287
1,4,avg,2,BlueBlack,3,16.163,16.67
1,4,avg,2,BlueBlack,4,14.928,16.251
1,4,avg,2,BlueBlack,5,14.729,15.457
1,4,avg,2,BlueBlack,6,15.832,16.074
1,4,avg,2,BlueBlack,7,14.421,15.7
1,4,avg,2,BlueBlack,8,15.303,16.008
1,4,avg,2,BlueBlack,9,17.53,15.237
1,4,avg,2,BlueBlack,10,16.582,16.758
1,4,avg,2,BlueBlack,11,16.207,15.7
1,4,avg,2,BlueBlack,12,15.545,16.008
3,13,naa,2,OrangeWhite,1,17.133,17.353
3,13,naa,2,OrangeWhite,2,15.237,16.295
3,13,naa,2,OrangeWhite,3,16.097,15.7
3,13,naa,2,OrangeWhite,4,15.192,18.544
3,13,naa,2,OrangeWhite,5,18.081,18.765
3,13,naa,2,OrangeWhite,6,17.199,16.008
3,13,naa,2,OrangeWhite,7,17.221,14.972
3,13,naa,2,OrangeWhite,8,19.47,18.015
3,13,naa,2,OrangeWhite,9,15.964,16.383
3,13,naa,2,OrangeWhite,10,16.802,16.097
3,13,naa,2,OrangeWhite,11,17.067,16.493
3,13,naa,2,OrangeWhite,12,17.905,14.862
1,5,ethephon,2,BlackWhite,1,19.228,16.692
1,5,ethephon,2,BlackWhite,2,22.535,15.611
1,5,ethephon,2,BlackWhite,3,16.207,16.405
1,5,ethephon,2,BlackWhite,4,18.015,13.958
1,5,ethephon,2,BlackWhite,5,15.082,16.097
1,5,ethephon,2,BlackWhite,6,23.461,18.478
1,5,ethephon,2,BlackWhite,7,20.705,17.42
1,5,ethephon,2,BlackWhite,8,18.059,15.655
1,5,ethephon,2,BlackWhite,9,17.397,16.89
1,5,ethephon,2,BlackWhite,10,18.103,19.999
1,5,ethephon,2,BlackWhite,11,16.538,15.192
1,5,ethephon,2,BlackWhite,12,17.111,16.361
2,12,ctrl,3,Pink,1,16.008,15.744
2,12,ctrl,3,Pink,2,17.552,17.353
2,12,ctrl,3,Pink,3,16.449,16.074
2,12,ctrl,3,Pink,4,15.325,18.368
2,12,ctrl,3,Pink,5,19.206,16.846
2,12,ctrl,3,Pink,6,17.353,16.978
2,12,ctrl,3,Pink,7,16.714,16.449
2,12,ctrl,3,Pink,8,16.427,16.78
2,12,ctrl,3,Pink,9,17.089,17.794
2,12,ctrl,3,Pink,10,17.045,16.956
2,12,ctrl,3,Pink,11,17.64,15.81
2,12,ctrl,3,Pink,12,16.56,19.867
2,8,avg,3,BlueBlack,1,15.832,18.103
2,8,avg,3,BlueBlack,2,15.413,15.611
2,8,avg,3,BlueBlack,3,16.582,16.56
2,8,avg,3,BlueBlack,4,18.191,18.765
2,8,avg,3,BlueBlack,5,17.133,18.39
2,8,avg,3,BlueBlack,6,18.103,16.185
2,8,avg,3,BlueBlack,7,15.435,15.215
2,8,avg,3,BlueBlack,8,15.325,15.81
2,8,avg,3,BlueBlack,9,14.465,17.618
2,8,avg,3,BlueBlack,10,13.869,16.493
2,8,avg,3,BlueBlack,11,14.729,16.052
2,8,avg,3,BlueBlack,12,16.119,16.141
3,14,naa,3,OrangeWhite,1,15.545,16.56
3,14,naa,3,OrangeWhite,2,20.573,16.538
3,14,naa,3,OrangeWhite,3,16.604,15.678
3,14,naa,3,OrangeWhite,4,15.545,16.978
3,14,naa,3,OrangeWhite,5,16.648,16.383
3,14,naa,3,OrangeWhite,6,21.609,17.486
3,14,naa,3,OrangeWhite,7,15.523,16.714
3,14,naa,3,OrangeWhite,8,18.985,17.199
3,14,naa,3,OrangeWhite,9,15.611,14.641
3,14,naa,3,OrangeWhite,10,16.03,16.978
3,14,naa,3,OrangeWhite,11,17.927,16.008
3,14,naa,3,OrangeWhite,12,15.413,16.846
2,9,ethephon,3,BlackWhite,1,15.92,17.001
2,9,ethephon,3,BlackWhite,2,16.56,15.457
2,9,ethephon,3,BlackWhite,3,16.097,16.317
2,9,ethephon,3,BlackWhite,4,16.736,15.633
2,9,ethephon,3,BlackWhite,5,16.074,17.199
2,9,ethephon,3,BlackWhite,6,17.133,17.397
2,9,ethephon,3,BlackWhite,7,19.073,16.03
2,9,ethephon,3,BlackWhite,8,15.633,16.185
2,9,ethephon,3,BlackWhite,9,16.56,14.84
2,9,ethephon,3,BlackWhite,10,15.215,15.986
2,9,ethephon,3,BlackWhite,11,18.5,17.133
2,9,ethephon,3,BlackWhite,12,15.457,16.604
3,17,ctrl,4,Pink,1,16.912,14.796
3,17,ctrl,4,Pink,2,15.413,15.148
3,17,ctrl,4,Pink,3,17.442,17.64
3,17,ctrl,4,Pink,4,15.722,16.868
3,17,ctrl,4,Pink,5,18.765,17.508
3,17,ctrl,4,Pink,6,17.155,14.773
3,17,ctrl,4,Pink,7,17.464,15.964
3,17,ctrl,4,Pink,8,17.464,18.544
3,17,ctrl,4,Pink,9,16.89,15.435
3,17,ctrl,4,Pink,10,17.772,17.486
3,17,ctrl,4,Pink,11,18.368,17.508
3,17,ctrl,4,Pink,12,16.736,18.985
2,10,avg,4,BlueBlack,1,18.279,16.582
2,10,avg,4,BlueBlack,2,15.523,15.082
2,10,avg,4,BlueBlack,3,14.178,17.199
2,10,avg,4,BlueBlack,4,16.846,16.383
2,10,avg,4,BlueBlack,5,15.082,15.06
2,10,avg,4,BlueBlack,6,16.317,14.729
2,10,avg,4,BlueBlack,7,15.104,16.626
2,10,avg,4,BlueBlack,8,15.854,15.413
2,10,avg,4,BlueBlack,9,16.515,16.229
2,10,avg,4,BlueBlack,10,14.862,15.259
2,10,avg,4,BlueBlack,11,16.714,17.067
2,10,avg,4,BlueBlack,12,16.207,16.758
3,15,naa,4,OrangeWhite,1,16.03,16.934
3,15,naa,4,OrangeWhite,2,16.03,17.243
3,15,naa,4,OrangeWhite,3,16.56,14.663
3,15,naa,4,OrangeWhite,4,16.074,15.479
3,15,naa,4,OrangeWhite,5,15.942,15.325
3,15,naa,4,OrangeWhite,6,18.235,17.023
3,15,naa,4,OrangeWhite,7,15.722,16.074
3,15,naa,4,OrangeWhite,8,16.934,17.949
3,15,naa,4,OrangeWhite,9,16.471,16.758
3,15,naa,4,OrangeWhite,10,18.809,17.023
3,15,naa,4,OrangeWhite,11,17.309,16.89
3,15,naa,4,OrangeWhite,12,17.089,17.486
2,11,ethephon,4,BlackWhite,1,14.31,14.906
2,11,ethephon,4,BlackWhite,2,17.64,17.023
2,11,ethephon,4,BlackWhite,3,16.207,15.192
2,11,ethephon,4,BlackWhite,4,16.714,15.413
2,11,ethephon,4,BlackWhite,5,15.81,17.133
2,11,ethephon,4,BlackWhite,6,19.338,16.207
2,11,ethephon,4,BlackWhite,7,14.487,14.751
2,11,ethephon,4,BlackWhite,8,14.729,20.043
2,11,ethephon,4,BlackWhite,9,18.412,16.339
2,11,ethephon,4,BlackWhite,10,15.435,15.369
2,11,ethephon,4,BlackWhite,11,14.619,15.766
2,11,ethephon,4,BlackWhite,12,15.126,16.934
3,20,ctrl,5,Pink,1,16.141,17.794
3,20,ctrl,5,Pink,2,17.993,17.794
3,20,ctrl,5,Pink,3,17.64,17.53
3,20,ctrl,5,Pink,4,15.788,16.052
3,20,ctrl,5,Pink,5,13.715,14.575
3,20,ctrl,5,Pink,6,17.552,16.78
3,20,ctrl,5,Pink,7,16.361,16.251
3,20,ctrl,5,Pink,8,14.575,17.023
3,20,ctrl,5,Pink,9,18.809,17.309
3,20,ctrl,5,Pink,10,15.567,18.787
3,20,ctrl,5,Pink,11,16.736,16.427
3,20,ctrl,5,Pink,12,16.119,17.883
3,18,avg,5,BlueBlack,1,19.36,16.582
3,18,avg,5,BlueBlack,2,16.207,16.405
3,18,avg,5,BlueBlack,3,15.766,16.207
3,18,avg,5,BlueBlack,4,23.042,20.793
3,18,avg,5,BlueBlack,5,17.53,18.787
3,18,avg,5,BlueBlack,6,15.898,17.949
3,18,avg,5,BlueBlack,7,17.067,17.486
3,18,avg,5,BlueBlack,8,22.403,17.662
3,18,avg,5,BlueBlack,9,17.838,16.383
3,18,avg,5,BlueBlack,10,16.824,16.119
3,18,avg,5,BlueBlack,11,18.456,15.082
3,18,avg,5,BlueBlack,12,15.832,16.03
3,16,naa,5,OrangeWhite,1,16.736,17.177
3,16,naa,5,OrangeWhite,2,15.964,16.119
3,16,naa,5,OrangeWhite,3,18.412,16.405
3,16,naa,5,OrangeWhite,4,16.78,18.037
3,16,naa,5,OrangeWhite,5,17.574,17.508
3,16,naa,5,OrangeWhite,6,15.501,17.42
3,16,naa,5,OrangeWhite,7,15.832,17.993
3,16,naa,5,OrangeWhite,8,16.515,18.478
3,16,naa,5,OrangeWhite,9,15.104,16.78
3,16,naa,5,OrangeWhite,10,15.589,16.03
3,16,naa,5,OrangeWhite,11,14.928,18.059
3,16,naa,5,OrangeWhite,12,17.596,16.185
3,19,ethephon,5,BlackWhite,1,15.832,17.023
3,19,ethephon,5,BlackWhite,2,17.199,17.927
3,19,ethephon,5,BlackWhite,3,17.772,17.574
3,19,ethephon,5,BlackWhite,4,16.912,17.287
3,19,ethephon,5,BlackWhite,5,17.331,17.486
3,19,ethephon,5,BlackWhite,6,15.678,16.052
3,19,ethephon,5,BlackWhite,7,20.97,16.405
3,19,ethephon,5,BlackWhite,8,18.169,15.567
3,19,ethephon,5,BlackWhite,9,15.898,16.273
3,19,ethephon,5,BlackWhite,10,17.42,17.883
3,19,ethephon,5,BlackWhite,11,17.177,17.574
3,19,ethephon,5,BlackWhite,12,15.148,16.074
